MM-FIXAR-00284-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M4 X 0,70 X 25MM | 109
MM-FIXAR-00285-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M5 X 0,80 X 12MM | 110
MM-FIXAR-00286-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M5 X 0,80 X 20MM | 110
MM-FIXAR-00287-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M5 X 0,80 X 30MM | 110
MM-FIXAR-00288-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M5 X 0,80 X 40MM | 110
MM-FIXAR-00289-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M6 X1 X 16MM | 111
MM-FIXAR-00290-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M6 X 1 X 30MM | 111
MM-FIXAR-00291-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M6 X 1 X 60MM | 111
MM-FIXAR-00292-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M 6 X 1 X 6MM | 110
MM-FIXAR-00293-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M8 X 1,25 X 12MM | 111
MM-FIXAR-00294-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M8 X 1,25 X 20MM | 112
MM-FIXAR-00295-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M8 X 1,25 X 30MM | 112
MM-FIXAR-00296-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M8 X 1,25 X 60MM | 112
MM-FIXAR-00297-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M8 X 1,25 X 80MM | 112
MM-FIXAR-00298-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M8 X 1,25 X 80MM POLEGADAS | 112
MM-FIXAR-00376-00 | PARAFUSO CAB ABAL SEXTAVADA ISO 7380 GA 10.9. | Fixação | FIXAR | | M5 X 8MM | 157
MM-FIXAR-00375-00 | PARAFUSO CAB ESC SEXTAVADA DIN 7991 GA 10.9 | Fixação | FIXAR | | M10 X 25MM | 157
MM-FIXAR-00368-00 | PARAFUSO CAB SEXT ANSI/ASME B18 2 1 - UNC3/8 | Fixação | FIXAR | | 63 X 35 X 19MM | 157
MM-FIXAR-00300-00 | PARAFUSO CABEÇA ESCAREDA AUTOATARR | Fixação | FIXAR | | M6 ROSCA SOBERBA 6S | 108
MM-FIXAR-00068-00 | PARAFUSO CABEÇA REDONDA FENDA | Fixação | FIXAR | | UNC SIM AI AISI 304 | 127
MM-FIXAR-00065-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M20 X 160MM | 153
MM-FIXAR-00142-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M10 X 1,50 X 70MM | 67
MM-FIXAR-00209-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | UNC 5/16 X 1/2 POL | 73
MM-FIXAR-00301-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | BSW 1/2 X 2 1/ POL | 75
MM-FIXAR-00302-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | BSW 1/2 X 2 POL | 75
MM-FIXAR-00303-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M16 X 2 X 40MM | 70
MM-FIXAR-00304-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | | 62
